Cohort Year,Cohort Category,Demographic,# Total Cohort,# Total Grads,% of cohort Total Grads,# of cohort Total Grads,% of cohort Total Regents,% of grads  Total Regents,# of grads  Total Regents,% of cohort  Advanced Regents,% of grads  Advanced Regents,# of grads  Advanced Regents,% of cohort  Regents w/o Advanced,% of grads  Regents w/o Advanced,# of grads  Regents w/o Advanced,% of cohort Local,% of grads Local,# Still Enrolled,% of cohort Still Enrolled,# Dropped Out,% of cohort Dropped Out
2006,4 Year  June,Hispanic,29721,16007,53.9,12104,40.7,75.6,2573,8.7,16.1,9531,32.1,59.5,3903,13.1,24.4,7882,26.5,4528,15.2
2006,4 Year August,Hispanic,29721,17289,58.2,12689,42.7,73.4,2592,8.7,15,10097,34,58.4,4600,15.5,26.6,6628,22.3,4501,15.1
2006,5 Year  June,Hispanic,30093,18991,63.1,13408,44.6,70.6,2609,8.7,13.7,10799,35.9,56.9,5583,18.6,29.4,2700,9,6700,22.3
2006,5 Year August,Hispanic,30093,19330,64.2,13525,44.9,70,2609,8.7,13.5,10916,36.3,56.5,5805,19.3,30,2451,8.1,6598,21.9
2006,6 Year,Hispanic,29614,19943,67.3,13753,46.4,69,2596,8.8,13,11157,37.7,55.9,6190,20.9,31,1066,3.6,6974,23.5
2007,4 Year  June,Hispanic,30811,16602,53.9,13924,45.2,83.9,2590,8.4,15.6,11334,36.8,68.3,2678,8.7,16.1,8424,27.3,4757,15.4
2007,4 Year August,Hispanic,30811,18192,59,14806,48.1,81.4,2622,8.5,14.4,12184,39.5,67,3386,11,18.6,6895,22.4,4703,15.3
2007,5 Year  June,Hispanic,30527,19638,64.3,15452,50.6,78.7,2576,8.4,13.1,12876,42.2,65.6,4186,13.7,21.3,2390,7.8,7077,23.2
2007,5 Year August,Hispanic,30527,19984,65.5,15619,51.2,78.2,2577,8.4,12.9,13042,42.7,65.3,4365,14.3,21.8,2143,7,6984,22.9
2007,6 Year,Hispanic,30613,20701,67.6,16061,52.5,77.6,2618,8.6,12.6,13443,43.9,64.9,4640,15.2,22.4,1176,3.8,7251,23.7
2008,4 Year  June,Hispanic,30770,16212,52.7,15340,49.9,94.6,2604,8.5,16.1,12736,41.4,78.6,872,2.8,5.4,9112,29.6,4537,14.7
2008,4 Year August,Hispanic,30770,17680,57.5,16603,54,93.9,2628,8.5,14.9,13975,45.4,79,1077,3.5,6.1,7681,25,4520,14.7
2008,5 Year  June,Hispanic,30641,19295,63,17934,58.5,92.9,2635,8.6,13.7,15299,49.9,79.3,1361,4.4,7.1,3786,12.4,6223,20.3
2008,5 Year August,Hispanic,30641,19682,64.2,18261,59.6,92.8,2635,8.6,13.4,15626,51,79.4,1421,4.6,7.2,3430,11.2,6201,20.2
2008,6 Year,Hispanic,30596,20402,66.7,18796,61.4,92.1,2635,8.6,12.9,16161,52.8,79.2,1606,5.2,7.9,1927,6.3,6673,21.8
2009,4 Year  June,Hispanic,30331,16268,53.6,15297,50.4,94,2627,8.7,16.1,12670,41.8,77.9,971,3.2,6,9064,29.9,4170,13.7
2009,4 Year August,Hispanic,30331,17879,58.9,16698,55.1,93.4,2660,8.8,14.9,14038,46.3,78.5,1181,3.9,6.6,7481,24.7,4168,13.7
2009,5 Year  June,Hispanic,30142,19716,65.4,18213,60.4,92.4,2674,8.9,13.6,15539,51.6,78.8,1503,5,7.6,3710,12.3,5722,19
2009,5 Year August,Hispanic,30142,20136,66.8,18563,61.6,92.2,2674,8.9,13.3,15889,52.7,78.9,1573,5.2,7.8,3309,11,5707,18.9
2009,6 Year,Hispanic,30114,20909,69.4,19155,63.6,91.6,2675,8.9,12.8,16480,54.7,78.8,1754,5.8,8.4,1939,6.4,6208,20.6
2010,4 Year  June,Hispanic,29049,16448,56.6,15269,52.6,92.8,2580,8.9,15.7,12689,43.7,77.1,1179,4.1,7.2,8293,28.5,3688,12.7
2010,4 Year August,Hispanic,29049,17845,61.4,16474,56.7,92.3,2610,9,14.6,13864,47.7,77.7,1371,4.7,7.7,6902,23.8,3686,12.7
2010,5 Year  June,Hispanic,28883,19476,67.4,17716,61.3,91,2616,9.1,13.4,15100,52.3,77.5,1760,6.1,9,3262,11.3,5276,18.3
2010,5 Year August,Hispanic,28883,19789,68.5,17961,62.2,90.8,2617,9.1,13.2,15344,53.1,77.5,1828,6.3,9.2,2966,10.3,5262,18.2
2011,4 Year  June,Hispanic,28842,17411,60.4,16201,56.2,93.1,2698,9.4,15.5,13503,46.8,77.6,1210,4.2,6.9,7352,25.5,3439,11.9
2011,4 Year August,Hispanic,28842,18452,64,17019,59,92.2,2713,9.4,14.7,14306,49.6,77.5,1433,5,7.8,6322,21.9,3438,11.9
2001,4 Year  June,White,12104,7750,64,6116,50.5,78.9,3287,27.2,42.4,2829,23.4,36.5,1644,13.6,21.2,2053,17,2065,17.1
2001,5 Year  June,White,12104,8567,70.8,6444,53.2,75.2,3325,27.5,38.8,3119,25.8,36.4,2137,17.7,24.9,578,4.8,2604,21.5
2001,6 Year,White,12104,8729,72.1,6494,53.7,74.4,3328,27.5,38.1,3166,26.2,36.3,2257,18.6,25.9,258,2.1,2745,22.7
2002,4 Year  June,White,11633,7776,66.8,6391,54.9,82.2,3155,27.1,40.6,3236,27.8,41.6,1387,11.9,17.8,2038,17.5,1542,13.3
2002,5 Year  June,White,11633,8622,74.1,6782,58.3,78.7,3212,27.6,37.3,3570,30.7,41.4,1872,16.1,21.7,636,5.5,2015,17.3
2002,6 Year,White,11633,8783,75.5,6826,58.7,77.7,3214,27.6,36.6,3612,31,41.1,1989,17.1,22.6,348,3,2130,18.3
2003,4 Year  June,White,10440,7202,69,6029,57.7,83.7,3102,29.7,43.1,2927,28,40.6,1173,11.2,16.3,1784,17.1,1272,12.2
2003,5 Year  June,White,10440,7896,75.6,6372,61,80.7,3132,30,39.7,3240,31,41,1524,14.6,19.3,563,5.4,1685,16.1
2003,6 Year,White,10464,8053,77,6425,61.4,79.8,3132,29.9,38.9,3293,31.5,40.9,1628,15.6,20.2,295,2.8,1761,16.8
2004,4 Year  June,White,10004,7155,71.5,6123,61.2,85.6,3297,33,46.1,2826,28.2,39.5,1032,10.3,14.4,1701,17,976,9.8
2004,4 Year August,White,10004,7486,74.8,6318,63.2,84.4,,,,,,,1169,11.7,15.6,1370,13.7,976,9.8
2004,5 Year  June,White,10092,7892,78.2,6496,64.4,82.3,3343,33.1,42.4,3153,31.2,40,1396,13.8,17.7,495,4.9,1282,12.7
2004,6 Year,White,10091,8040,79.7,6560,65,81.6,3343,33.1,41.6,3217,31.9,40,1480,14.7,18.4,410,4.1,1345,13.3
2005,4 Year  June,White,9900,7316,73.9,6270,63.3,85.7,3163,31.9,43.2,3107,31.4,42.5,1046,10.6,14.3,1467,14.8,829,8.4
2005,4 Year August,White,9900,7571,76.5,6421,64.9,84.8,3176,32.1,41.9,3245,32.8,42.9,1150,11.6,15.2,1214,12.3,828,8.4
2005,5 Year  June,White,9962,7940,79.7,6615,66.4,83.3,3201,32.1,40.3,3414,34.3,43,1325,13.3,16.7,491,4.9,1143,11.5
2005,6 Year,White,9959,8074,81.1,6671,67,82.6,3201,32.1,39.6,3470,34.8,43,1403,14.1,17.4,311,3.1,1182,11.9
2006,4 Year  June,White,10077,7606,75.5,6736,66.8,88.6,3187,31.6,41.9,3549,35.2,46.7,870,8.6,11.4,1447,14.4,806,8
2006,4 Year August,White,10077,7881,78.2,6896,68.4,87.5,3208,31.8,40.7,3688,36.6,46.8,985,9.8,12.5,1176,11.7,802,8
2006,5 Year  June,White,10155,8201,80.8,7096,69.9,86.5,3216,31.7,39.2,3880,38.2,47.3,1105,10.9,13.5,495,4.9,1117,11
2006,5 Year August,White,10155,8250,81.2,7117,70.1,86.3,3216,31.7,39,3901,38.4,47.3,1133,11.2,13.7,461,4.5,1102,10.9
2006,6 Year,White,10077,8342,82.8,7162,71.1,85.9,3214,31.9,38.5,3948,39.2,47.3,1180,11.7,14.1,280,2.8,1136,11.3
2007,4 Year  June,White,9915,7491,75.6,6905,69.6,92.2,3131,31.6,41.8,3774,38.1,50.4,586,5.9,7.8,1450,14.6,784,7.9
2007,4 Year August,White,9915,7818,78.9,7134,72,91.3,3147,31.7,40.3,3987,40.2,51,684,6.9,8.7,1133,11.4,780,7.9
2007,5 Year  June,White,9890,8074,81.6,7263,73.4,90,3146,31.8,39,4117,41.6,51,811,8.2,10,431,4.4,1100,11.1
2007,5 Year August,White,9890,8135,82.3,7293,73.7,89.6,3146,31.8,38.7,4147,41.9,51,842,8.5,10.4,392,4,1079,10.9
2007,6 Year,White,9914,8233,83,7363,74.3,89.4,3155,31.8,38.3,4208,42.4,51.1,870,8.8,10.6,266,2.7,1113,11.2
2008,4 Year  June,White,10189,7657,75.1,7376,72.4,96.3,3161,31,41.3,4215,41.4,55,281,2.8,3.7,1661,16.3,745,7.3
2008,4 Year August,White,10189,7957,78.1,7638,75,96,3181,31.2,40,4457,43.7,56,319,3.1,4,1364,13.4,744,7.3
2008,5 Year  June,White,10159,8244,81.1,7882,77.6,95.6,3189,31.4,38.7,4693,46.2,56.9,362,3.6,4.4,670,6.6,1014,10
2008,5 Year August,White,10159,8287,81.6,7911,77.9,95.5,3190,31.4,38.5,4721,46.5,57,376,3.7,4.5,632,6.2,1010,9.9
2008,6 Year,White,10142,8371,82.5,7972,78.6,95.2,3191,31.5,38.1,4781,47.1,57.1,399,3.9,4.8,396,3.9,1066,10.5
2009,4 Year  June,White,10282,7856,76.4,7565,73.6,96.3,3249,31.6,41.4,4316,42,54.9,291,2.8,3.7,1688,16.4,610,5.9
2009,4 Year August,White,10282,8191,79.7,7864,76.5,96,3267,31.8,39.9,4597,44.7,56.1,327,3.2,4,1357,13.2,610,5.9
2009,5 Year  June,White,10256,8482,82.7,8094,78.9,95.4,3270,31.9,38.6,4824,47,56.9,388,3.8,4.6,726,7.1,894,8.7
2009,5 Year August,White,10256,8543,83.3,8137,79.3,95.2,3270,31.9,38.3,4867,47.5,57,406,4,4.8,669,6.5,890,8.7
2009,6 Year,White,10257,8661,84.4,8229,80.2,95,3271,31.9,37.8,4958,48.3,57.2,432,4.2,5,455,4.4,963,9.4
2010,4 Year  June,White,10342,8050,77.8,7723,74.7,95.9,3187,30.8,39.6,4536,43.9,56.3,327,3.2,4.1,1568,15.2,631,6.1
2010,4 Year August,White,10342,8342,80.7,7974,77.1,95.6,3211,31,38.5,4763,46.1,57.1,368,3.6,4.4,1276,12.3,631,6.1
2010,5 Year  June,White,10420,8745,83.9,8286,79.5,94.8,3221,30.9,36.8,5065,48.6,57.9,459,4.4,5.2,635,6.1,877,8.4
2010,5 Year August,White,10420,8794,84.4,8324,79.9,94.7,3221,30.9,36.6,5103,49,58,470,4.5,5.3,589,5.7,874,8.4
2011,4 Year  June,White,9896,7925,80.1,7641,77.2,96.4,3209,32.4,40.5,4432,44.8,55.9,284,2.9,3.6,1330,13.4,514,5.2
2011,4 Year August,White,9896,8119,82,7817,79,96.3,3216,32.5,39.6,4601,46.5,56.7,302,3.1,3.7,1138,11.5,513,5.2
2001,4 Year  June,Female,36069,19424,53.9,12455,34.5,64.1,5147,14.3,26.5,7308,20.3,37.6,6985,19.4,36,9075,25.2,6699,18.6
2001,5 Year  June,Female,36069,22680,62.9,13210,36.6,58.2,5243,14.5,23.1,7967,22.1,35.1,9501,26.3,41.9,3265,9.1,8931,24.8
2001,6 Year,Female,36069,23594,65.4,13365,37.1,56.6,5249,14.6,22.2,8116,22.5,34.4,10292,28.5,43.6,1302,3.6,9893,27.4
2002,4 Year  June,Female,37040,20565,55.5,13986,37.8,68,5155,13.9,25.1,8831,23.8,42.9,6601,17.8,32.1,9628,26,5810,15.7
2002,5 Year  June,Female,37040,24040,64.9,15053,40.6,62.6,5283,14.3,22,9770,26.4,40.6,9116,24.6,37.9,3818,10.3,7845,21.2
2002,6 Year,Female,37040,25053,67.6,15231,41.1,60.8,5290,14.3,21.1,9941,26.8,39.7,9951,26.9,39.7,1958,5.3,8590,23.2
2003,4 Year  June,Female,36829,21942,59.6,15381,41.8,70.1,6375,17.3,29.1,9006,24.5,41,6561,17.8,29.9,9253,25.1,4862,13.2
2003,5 Year  June,Female,36829,25263,68.6,16371,44.5,64.8,6465,17.6,25.6,9906,26.9,39.2,8892,24.1,35.2,3597,9.8,6782,18.4
2003,6 Year,Female,36893,26309,71.3,16590,45,63.1,6471,17.5,24.6,10119,27.4,38.5,9719,26.3,36.9,1665,4.5,7383,20
2004,4 Year  June,Female,37275,23485,63,16970,45.5,72.3,6910,18.5,29.4,10060,27,42.8,6515,17.5,27.7,9040,24.3,4145,11.1
2004,4 Year August,Female,37275,24990,67,17572,47.1,70.3,,,,,,,7421,19.9,29.7,7536,20.2,4144,11.1
2004,5 Year  June,Female,37530,27044,72.1,18281,48.7,67.6,7024,18.7,26,11257,30,41.6,8763,23.3,32.4,2984,8,5722,15.2
2004,6 Year,Female,37560,28080,74.8,18546,49.4,66,7025,18.7,25,11521,30.7,41,9534,25.4,34,1815,4.8,6364,16.9
2005,4 Year  June,Female,38282,25056,65.5,18924,49.4,75.5,6863,17.9,27.4,12061,31.5,48.1,6132,16,24.5,8147,21.3,3751,9.8
2005,4 Year August,Female,38282,26377,68.9,19419,50.7,73.6,6892,18,26.1,12527,32.7,47.5,6958,18.2,26.4,6830,17.8,3749,9.8
2005,5 Year  June,Female,38677,28405,73.4,20237,52.3,71.2,6947,18,24.5,13290,34.4,46.8,8168,21.1,28.8,2674,6.9,6049,15.6
2005,6 Year,Female,38643,29365,76,20497,53,69.8,6952,18,23.7,13545,35.1,46.1,8868,22.9,30.2,1355,3.5,6371,16.5
2006,4 Year  June,Female,38750,25946,67,20942,54,80.7,7098,18.3,27.4,13844,35.7,53.4,5004,12.9,19.3,7717,19.9,4045,10.4
2006,4 Year August,Female,38750,27409,70.7,21614,55.8,78.9,7146,18.4,26.1,14468,37.3,52.8,5795,15,21.1,6290,16.2,4009,10.3
2006,5 Year  June,Female,39010,29185,74.8,22387,57.4,76.7,7171,18.4,24.6,15216,39,52.1,6798,17.4,23.3,2412,6.2,6024,15.4
2006,5 Year August,Female,39010,29514,75.7,22491,57.7,76.2,7171,18.4,24.3,15320,39.3,51.9,7023,18,23.8,2164,5.5,5930,15.2
2006,6 Year,Female,38631,30108,77.9,22675,58.7,75.3,7174,18.6,23.8,15501,40.1,51.5,7433,19.2,24.7,970,2.5,6178,16
2007,4 Year  June,Female,38957,25869,66.4,22648,58.1,87.5,7065,18.1,27.3,15583,40,60.2,3221,8.3,12.5,8175,21,4062,10.4
2007,4 Year August,Female,38957,27603,70.9,23580,60.5,85.4,7117,18.3,25.8,16463,42.3,59.6,4023,10.3,14.6,6497,16.7,4017,10.3
2007,5 Year  June,Female,38756,29137,75.2,24294,62.7,83.4,7114,18.4,24.4,17180,44.3,59,4843,12.5,16.6,2161,5.6,6233,16.1
2007,5 Year August,Female,38756,29452,76,24413,63,82.9,7115,18.4,24.2,17298,44.6,58.7,5039,13,17.1,1945,5,6140,15.8
2007,6 Year,Female,38787,30063,77.5,24736,63.8,82.3,7129,18.4,23.7,17607,45.4,58.6,5327,13.7,17.7,1039,2.7,6393,16.5
2008,4 Year  June,Female,38751,25415,65.6,24509,63.2,96.4,7178,18.5,28.2,17331,44.7,68.2,906,2.3,3.6,8790,22.7,3786,9.8
2008,4 Year August,Female,38751,27039,69.8,25960,67,96,7212,18.6,26.7,18748,48.4,69.3,1079,2.8,4,7201,18.6,3770,9.7
2008,5 Year  June,Female,38643,28671,74.2,27323,70.7,95.3,7231,18.7,25.2,20092,52,70.1,1348,3.5,4.7,3507,9.1,5358,13.9
2008,5 Year August,Female,38643,29069,75.2,27654,71.6,95.1,7232,18.7,24.9,20422,52.8,70.3,1415,3.7,4.9,3157,8.2,5320,13.8
2008,6 Year,Female,38621,29765,77.1,28209,73,94.8,7233,18.7,24.3,20976,54.3,70.5,1556,4,5.2,1788,4.6,5739,14.9
2009,4 Year  June,Female,38582,25671,66.5,24687,64,96.2,7366,19.1,28.7,17321,44.9,67.5,984,2.6,3.8,8694,22.5,3525,9.1
2009,4 Year August,Female,38582,27397,71,26212,67.9,95.7,7431,19.3,27.1,18781,48.7,68.6,1185,3.1,4.3,7002,18.1,3520,9.1
2009,5 Year  June,Female,38435,29142,75.8,27688,72,95,7449,19.4,25.6,20239,52.7,69.4,1454,3.8,5,3467,9,5031,13.1
2009,5 Year August,Female,38435,29557,76.9,28027,72.9,94.8,7450,19.4,25.2,20577,53.5,69.6,1530,4,5.2,3074,8,5012,13
2009,6 Year,Female,38445,30332,78.9,28642,74.5,94.4,7452,19.4,24.6,21190,55.1,69.9,1690,4.4,5.6,1884,4.9,5412,14.1
2010,4 Year  June,Female,36844,25388,68.9,24303,66,95.7,7236,19.6,28.5,17067,46.3,67.2,1085,2.9,4.3,7773,21.1,3178,8.6
2010,4 Year August,Female,36844,26836,72.8,25580,69.4,95.3,7287,19.8,27.2,18293,49.6,68.2,1256,3.4,4.7,6328,17.2,3178,8.6
2010,5 Year  June,Female,36747,28618,77.9,27015,73.5,94.4,7309,19.9,25.5,19706,53.6,68.9,1603,4.4,5.6,2838,7.7,4565,12.4
2010,5 Year August,Female,36747,28901,78.6,27244,74.1,94.3,7310,19.9,25.3,19934,54.2,69,1657,4.5,5.7,2581,7,4542,12.4
2011,4 Year  June,Female,36143,26418,73.1,25223,69.8,95.5,7279,20.1,27.6,17944,49.6,67.9,1195,3.3,4.5,6514,18,2740,7.6
2011,4 Year August,Female,36143,27436,75.9,26065,72.1,95,7303,20.2,26.6,18762,51.9,68.4,1371,3.8,5,5504,15.2,2740,7.6
2001,4 Year  June,Male,38074,15079,39.6,9742,25.6,64.6,4102,10.8,27.2,5640,14.8,37.4,5348,14,35.5,12019,31.6,9638,25.3
2001,5 Year  June,Male,38074,18637,48.9,10715,28.1,57.5,4206,11,22.6,6509,17.1,34.9,7964,20.9,42.7,5070,13.3,12451,32.7
2001,6 Year,Male,38074,19757,51.9,10973,28.8,55.5,4224,11.1,21.4,6749,17.7,34.2,8888,23.3,45,2594,6.8,13645,35.8
2002,4 Year  June,Male,37471,15987,42.7,11112,29.7,69.5,4280,11.4,26.8,6832,18.2,42.7,4888,13,30.6,12093,32.3,7948,21.2
2002,5 Year  June,Male,37471,19795,52.8,12425,33.2,62.8,4462,11.9,22.5,7963,21.3,40.2,7509,20,37.9,5109,13.6,10589,28.3
2002,6 Year,Male,37471,21014,56.1,12706,33.9,60.5,4478,12,21.3,8228,22,39.2,8447,22.5,40.2,2771,7.4,11550,30.8
2003,4 Year  June,Male,37059,17048,46,12064,32.6,70.8,4981,13.4,29.2,7083,19.1,41.5,4984,13.4,29.2,12100,32.7,6842,18.5
2003,5 Year  June,Male,37059,21002,56.7,13516,36.5,64.4,5129,13.8,24.4,8387,22.6,39.9,7486,20.2,35.6,4923,13.3,9313,25.1
2003,6 Year,Male,37134,22277,60,13893,37.4,62.4,5136,13.8,23.1,8757,23.6,39.3,8384,22.6,37.6,2455,6.6,10134,27.3
2004,4 Year  June,Male,37734,18828,49.9,13682,36.3,72.7,5682,15.1,30.2,8000,21.2,42.5,5146,13.6,27.3,11804,31.3,5982,15.9
2004,5 Year  June,Male,38095,22915,60.2,15258,40.1,66.6,5817,15.3,25.4,9441,24.8,41.2,7657,20.1,33.4,4381,11.5,8064,21.2
2004,6 Year,Male,38101,24299,63.8,15685,41.2,64.5,5825,15.3,24,9860,25.9,40.6,8614,22.6,35.5,2653,7,8942,23.5
2005,4 Year  June,Male,39096,20559,52.6,15565,39.8,75.7,5649,14.4,27.5,9916,25.4,48.2,4993,12.8,24.3,11196,28.6,5406,13.8
2005,4 Year August,Male,39096,22122,56.6,16299,41.7,73.7,5725,14.6,25.9,10574,27,47.8,5822,14.9,26.3,9634,24.6,5406,13.8
2005,5 Year  June,Male,39470,24583,62.3,17374,44,70.7,5827,14.8,23.7,11547,29.3,47,7209,18.3,29.3,3992,10.1,8210,20.8
2005,6 Year,Male,39351,25912,65.8,17815,45.3,68.8,5831,14.8,22.5,11984,30.5,46.2,8097,20.6,31.2,2070,5.3,8719,22.2
2006,4 Year  June,Male,39596,21840,55.2,17628,44.5,80.7,5787,14.6,26.5,11841,29.9,54.2,4212,10.6,19.3,10420,26.3,5452,13.8
2006,4 Year August,Male,39596,23597,59.6,18537,46.8,78.6,5855,14.8,24.8,12682,32,53.7,5060,12.8,21.4,8685,21.9,5431,13.7
2006,5 Year  June,Male,40146,25751,64.1,19531,48.6,75.8,5904,14.7,22.9,13627,33.9,52.9,6220,15.5,24.2,3816,9.5,8078,20.1
2006,5 Year August,Male,40146,26194,65.2,19698,49.1,75.2,5904,14.7,22.5,13794,34.4,52.7,6496,16.2,24.8,3486,8.7,7946,19.8
2006,6 Year,Male,39415,27013,68.5,20014,50.8,74.1,5890,14.9,21.8,14124,35.8,52.3,6999,17.8,25.9,1514,3.8,8440,21.4
2007,4 Year  June,Male,40519,22511,55.6,19458,48,86.4,5893,14.5,26.2,13565,33.5,60.3,3053,7.5,13.6,10785,26.6,5678,14
2007,4 Year August,Male,40519,24466,60.4,20636,50.9,84.3,5960,14.7,24.4,14676,36.2,60,3830,9.5,15.7,8906,22,5614,13.9
2007,5 Year  June,Male,40166,26267,65.4,21476,53.5,81.8,5909,14.7,22.5,15567,38.8,59.3,4791,11.9,18.2,3346,8.3,8425,21
2007,5 Year August,Male,40166,26701,66.5,21691,54,81.2,5910,14.7,22.1,15781,39.3,59.1,5010,12.5,18.8,3017,7.5,8327,20.7
2007,6 Year,Male,40211,27588,68.6,22231,55.3,80.6,5980,14.9,21.7,16251,40.4,58.9,5357,13.3,19.4,1748,4.3,8647,21.5
2008,4 Year  June,Male,40968,22758,55.6,21515,52.5,94.5,5997,14.6,26.4,15518,37.9,68.2,1243,3,5.5,11595,28.3,5345,13
2008,4 Year August,Male,40968,24534,59.9,23044,56.2,93.9,6052,14.8,24.7,16992,41.5,69.3,1490,3.6,6.1,9862,24.1,5326,13
2008,5 Year  June,Male,40719,26461,65,24631,60.5,93.1,6082,14.9,23,18549,45.6,70.1,1830,4.5,6.9,4980,12.2,7281,17.9
2008,5 Year August,Male,40719,26938,66.2,25024,61.5,92.9,6089,15,22.6,18935,46.5,70.3,1914,4.7,7.1,4543,11.2,7252,17.8
2008,6 Year,Male,40612,27810,68.5,25652,63.2,92.2,6091,15,21.9,19561,48.2,70.3,2158,5.3,7.8,2563,6.3,7806,19.2
2009,4 Year  June,Male,40139,22565,56.2,21302,53.1,94.4,6034,15,26.7,15268,38,67.7,1263,3.1,5.6,11552,28.8,4845,12.1
2009,4 Year August,Male,40139,24573,61.2,23046,57.4,93.8,6104,15.2,24.8,16942,42.2,68.9,1527,3.8,6.2,9575,23.9,4843,12.1
2009,5 Year  June,Male,39880,26740,67.1,24783,62.1,92.7,6135,15.4,22.9,18648,46.8,69.7,1957,4.9,7.3,4926,12.4,6735,16.9
2009,5 Year August,Male,39880,27224,68.3,25177,63.1,92.5,6138,15.4,22.5,19039,47.7,69.9,2047,5.1,7.5,4466,11.2,6719,16.8
2009,6 Year,Male,39842,28173,70.7,25874,64.9,91.8,6140,15.4,21.8,19734,49.5,70,2299,5.8,8.2,2657,6.7,7406,18.6
2010,4 Year  June,Male,38680,23061,59.6,21471,55.5,93.1,6051,15.6,26.2,15420,39.9,66.9,1590,4.1,6.9,10575,27.3,4133,10.7
2010,4 Year August,Male,38680,24845,64.2,22983,59.4,92.5,6134,15.9,24.7,16849,43.6,67.8,1862,4.8,7.5,8799,22.7,4131,10.7
2010,5 Year  June,Male,38495,26876,69.8,24537,63.7,91.3,6158,16,22.9,18379,47.7,68.4,2339,6.1,8.7,4364,11.3,5963,15.5
2010,5 Year August,Male,38495,27231,70.7,24810,64.4,91.1,6160,16,22.6,18650,48.4,68.5,2421,6.3,8.9,4021,10.4,5953,15.5
2011,4 Year  June,Male,38220,23581,61.7,22165,58,94,6285,16.4,26.7,15880,41.5,67.3,1416,3.7,6,9805,25.7,3926,10.3
2011,4 Year August,Male,38220,24973,65.3,23299,61,93.3,6336,16.6,25.4,16963,44.4,67.9,1674,4.4,6.7,8423,22,3924,10.3
